327,672
Last level, good luck !
0,19,1
1,19,1
2,19,1
2,18,1
2,17,1
1,17,1
0,17,1
0,18,1
1,18,1
2,13,1
1,13,1
0,13,1
3,13,1
4,13,1
5,13,1
6,19,1
6,18,1
6,17,1
7,19,1
8,19,1
7,17,1
8,17,1
7,18,1
8,18,1
9,19,1
9,18,1
9,17,1
10,17,1
10,18,1
10,19,1
11,19,1
11,18,1
11,17,1
12,17,1
12,18,1
12,19,1
13,19,1
14,18,1
15,17,1
16,16,1
17,15,1
18,15,1
14,19,1
15,19,1
15,18,1
16,19,1
16,18,1
16,17,1
13,17,1
14,17,1
13,18,1
17,17,1
18,17,1
19,17,1
17,16,1
19,16,1
18,16,1
19,15,1
20,15,1
21,15,1
22,15,1
22,14,1
22,13,1
23,13,1
24,13,1
25,13,1
25,12,1
25,11,1
26,11,1
27,11,1
28,11,1
29,11,1
30,11,1
31,11,1
6,13,1
7,13,1
8,13,1
10,13,1
11,13,1
9,13,1
12,13,1
12,12,1
12,11,1
17,14,1
17,13,1
17,12,1
17,11,1
16,15,1
16,14,1
16,13,1
16,12,1
16,11,1
18,11,1
19,11,1
21,11,1
22,11,1
24,11,1
23,11,1
20,11,1
18,12,1
19,12,1
20,12,1
21,13,1
21,14,1
20,14,1
18,14,1
18,13,1
19,13,1
19,14,1
20,13,1
22,12,1
21,12,1
23,12,1
24,12,1
15,12,1
15,8,1
15,4,1
16,10,1
16,9,1
16,8,1
16,7,1
16,6,1
16,5,1
16,4,1
16,0,1
17,0,1
15,0,1
14,0,1
13,0,1
12,0,1
11,0,1
12,10,1
12,8,1
12,9,1
12,7,1
12,6,1
12,5,1
12,4,1
6,0,1
1,0,1
0,3,1
18,0,1
19,0,1
20,0,1
21,0,1
22,0,1
23,0,1
24,0,1
25,0,1
26,0,1
27,0,1
28,0,1
29,0,1
30,0,1
31,0,1
4,4,3
1,9,3
30,14,3
0,15,3
31,5,3
17,18,4
20,16,4
23,14,4
26,12,4
15,13,4
15,9,4
15,5,4
29,1,4
28,1,4
25,1,4
24,1,4
21,1,4
20,1,4
